
2025/01/10 (11:12:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (11:13:32) | ===> btop++ v.1.4.0
2025/01/10 (11:13:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (12:06:36) | ===> btop++ v.1.4.0
2025/01/10 (12:06:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (21:57:24) | ===> btop++ v.1.4.0
2025/01/12 (21:57:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (22:15:44) | ===> btop++ v.1.4.0
2025/01/13 (22:15:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (15:42:38) | ===> btop++ v.1.4.0
2025/01/14 (15:42:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (09:45:31) | ===> btop++ v.1.4.0
2025/01/15 (09:45:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (11:50:17) | ===> btop++ v.1.4.0
2025/01/15 (11:50:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (12:02:40) | ===> btop++ v.1.4.0
2025/01/17 (12:02:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (19:26:32) | ===> btop++ v.1.4.0
2025/01/20 (19:26:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (13:57:26) | ===> btop++ v.1.4.0
2025/01/25 (13:57:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (13:57:42) | ===> btop++ v.1.4.0
2025/01/25 (13:57:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (11:52:44) | ===> btop++ v.1.4.0
2025/02/06 (11:52:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (16:24:35) | ===> btop++ v.1.4.0
2025/02/09 (16:24:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (19:02:18) | ===> btop++ v.1.4.0
2025/02/18 (19:02:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (08:33:26) | ===> btop++ v.1.4.0
2025/04/05 (08:33:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/14 (20:35:21) | ===> btop++ v.1.4.0
2025/04/14 (20:35:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/18 (17:15:42) | ===> btop++ v.1.4.0
2025/04/18 (17:15:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (12:54:19) | ===> btop++ v.1.4.0
2025/04/27 (12:54:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/04 (12:45:11) | ===> btop++ v.1.4.0
2025/05/04 (12:45:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/06 (11:21:57) | ===> btop++ v.1.4.0
2025/05/06 (11:21:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/17 (19:30:41) | ===> btop++ v.1.4.0
2025/05/17 (19:30:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/22 (13:41:47) | ===> btop++ v.1.4.0
2025/05/22 (13:41:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/27 (21:11:58) | ===> btop++ v.1.4.0
2025/05/27 (21:11:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/28 (18:39:03) | ===> btop++ v.1.4.0
2025/05/28 (18:39:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/28 (20:09:08) | ===> btop++ v.1.4.0
2025/05/28 (20:09:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/28 (20:15:27) | ===> btop++ v.1.4.0
2025/05/28 (20:15:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/28 (22:21:17) | ===> btop++ v.1.4.0
2025/05/28 (22:21:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/28 (22:32:29) | ===> btop++ v.1.4.0
2025/05/28 (22:32:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/28 (23:10:35) | ===> btop++ v.1.4.0
2025/05/28 (23:10:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/29 (08:13:44) | ===> btop++ v.1.4.0
2025/05/29 (08:13:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/29 (15:48:32) | ===> btop++ v.1.4.0
2025/05/29 (15:48:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/29 (17:00:49) | ===> btop++ v.1.4.0
2025/05/29 (17:00:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/29 (17:35:09) | ===> btop++ v.1.4.0
2025/05/29 (17:35:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/29 (17:41:52) | ===> btop++ v.1.4.0
2025/05/29 (17:41:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/29 (18:06:59) | ===> btop++ v.1.4.0
2025/05/29 (18:06:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/29 (18:24:44) | ===> btop++ v.1.4.0
2025/05/29 (18:24:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/29 (19:26:15) | ===> btop++ v.1.4.0
2025/05/29 (19:26:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/29 (19:31:46) | ===> btop++ v.1.4.0
2025/05/29 (19:31:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/29 (19:45:06) | ===> btop++ v.1.4.0
2025/05/29 (19:45:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/29 (19:49:37) | ===> btop++ v.1.4.0
2025/05/29 (19:49:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/29 (20:13:59) | ===> btop++ v.1.4.0
2025/05/29 (20:13:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/29 (22:20:57) | ===> btop++ v.1.4.0
2025/05/29 (22:20:57) | WARNING: Intel GPU: Failed to initialize PMU
